name;descriptor;nomenclature;abb;nameTraits;layer;lifeform;lifeformEllenberg;ldmc;height;seedmass;l;f;n;flood;chwet;legal;rlg;rlb;neophyte;continuity;sociality
Lonicera_xylosteum;L.;PL;Lonixylo;Lonicera_xylosteum;shrub;wood;N;NA;NA;NA;5;5;6;no;no;NA;NA;NA;no;15;NA
Picea_abies;(L.) H.Karst.;PL;Piceabie;Picea_abies;shrub;wood;P;NA;NA;NA;5;NA;NA;no;no;NA;NA;NA;no;3;NA
Prunus_padus;L.;PL;Prunpadu;Prunus_padus;shrub;wood;P,N;NA;NA;NA;5;8;6;yes;no;NA;NA;NA;no;6;NA
Salix_daphnoides;Vill.;PL;Salidaph;Salix_daphnoides;shrub;wood;P,N;NA;NA;NA;6;8;4;no;yes;NA;2;3;no;1;NA
Salix_eleagnos;Scop.;PL;Salielea;Salix_eleagnos;shrub;wood;N;NA;NA;NA;7;7;4;no;yes;NA;NA;NA;no;3;NA
Salix_purpurea;L.;PL;Salipurp;Salix_purpurea;shrub;wood;N,P;NA;NA;NA;8;NA;NA;yes;no;NA;NA;NA;no;3;NA
Sambucus_nigra;L.;PL;Sambnigr;Sambucus_nigra;shrub;wood;N;NA;NA;NA;7;5;9;no;no;NA;NA;NA;no;1;NA
Shrub_1;na;PL;Shrub1;Shrub_1;shrub;wood;NA;NA;NA;NA;NA;NA;NA;no;no;NA;NA;NA;NA;1;NA
Shrub_2;na;PL;Shrub2;Shrub_2;shrub;wood;NA;NA;NA;NA;NA;NA;NA;no;no;NA;NA;NA;NA;1;NA
Ulmus_glabra;Huds.;PL;Ulmuglab;Ulmus_glabra;shrub;wood;P;NA;NA;NA;4;6;7;no;no;NA;NA;NA;no;4;NA
Viburnum_lantana;L.;PL;Vibulant;Viburnum_lantana;shrub;wood;N;NA;NA;NA;7;4;4;no;no;NA;NA;NA;no;9;NA
Acer_pseudoplatanus;L.;PL;Acerpseu;Acer_pseudoplatanus;herb;wood;P;264;27,5;44,8;4;6;7;no;no;NA;NA;NA;no;10;84340
Aconitum_lycoctonum;L.;PL;Aconalti;Aconitum_lycoctonum;herb;perannual;H;140;NA;NA;3;7;8;no;no;BG;NA;NA;no;1;NA
Aegopodium_podagraria;L.;PL;Aegopoda;Aegopodium_podagraria;herb;perannual;G,H;246;0,58;1,54;5;6;8;no;no;NA;NA;NA;no;16;35310
Agrostis_gigantea;Roth;PL;Agrogiga;Agrostis_gigantea;herb;perannual;H;241,17;0,98;0,09;7;8;6;no;no;NA;NA;NA;no;1;54000
Agrostis_stolonifera_agg;na;PL;Agrostol;Agrostis_stolonifera;herb;perannual;H;265,5;NA;0,05;8;7;5;no;yes;NA;NA;NA;no;1;38100
Alnus_incana;(L.) Moench;PL;Alnuinca;Alnus_incana;herb;wood;P;213,84;14;0,55;6;7;NA;yes;no;NA;NA;NA;no;13;84330
Angelica_sylvestris;L.;PL;Angesylv;Angelica_sylvestris;herb;perannual;H;220;0,9;2,96;7;8;4;no;no;NA;NA;NA;no;4;54100
Aquilegia_atrata;Koch;PL;Aquisylv;Aquilegia_atrata;herb;perannual;H;NA;0,4;1,48;6;4;3;no;yes;BG;NA;NA;no;1;71110
Asarum_europaeum;L.;PL;Asareuro;Asarum_europaeum;herb;perannual;H,G;142,81;0,08;3,44;3;5;6;no;no;NA;NA;NA;no;15;84300
Brachypodium_sylvaticum;(Huds.) P.Beauv.;PL;Bracsylv;Brachypodium_sylvaticum;herb;perannual;H;309,94;0,83;3,94;3;5;6;no;no;NA;NA;NA;no;4;84000
Calamagrostis_epigejos;(L.) Roth;PL;Calaepig;Calamagrostis_epigejos;herb;perannual;G,H;395;1;0,07;7;NA;6;no;yes;NA;NA;NA;no;7;NA
Calamagrostis_varia;(Schrad.) Host;PL;Calavari;Calamagrostis_varia;herb;perannual;H;NA;0,63;0,12;7;5;3;no;yes;NA;NA;NA;no;1;NA
Cardamine_impatiens;L.;PL;Cardimpa;Cardamine_impatiens;herb;perannual_annual;H,T;311;0,4;0,3;5;6;8;no;no;NA;NA;NA;no;4;35320
Cardamine_trifolia;L.;PL;Cardtrif;Cardamine_trifolia;herb;perannual;G;NA;0,18;1,64;3;6;7;no;no;NA;NA;NA;no;4;84315
Carduus_personata;(L.) Jacq.;PL;Cardpers;Carduus_personata;herb;perannual;H;NA;0,83;1,8;7;8;8;no;no;NA;NA;NA;no;5;NA
Carex_acutiformis;Ehrh.;PL;Careacut;Carex_acutiformis;herb;perannual;G,A;333,43;0,75;1,11;7;9;5;no;yes;NA;NA;NA;no;12;NA
Carex_alba;Scop.;PL;Carealba;Carex_alba;herb;perannual;G,H;363,16;0,1;2,83;5;4;2;no;no;NA;NA;NA;no;7;71110
